 DATE       TIME          LONG   LAT   DEPTH STK DP  RKE Mom      Mw   CMTNAME
 2005/03/02  10:42:12.2  129.99  -6.54  196.1 308 35  176 5.7e+26  7.10 200503021042A  
 2005/03/20  01:53:41.8  130.15  33.72   12.0  32 76 -178 9.2e+25  6.57 200503200153A  
 2005/03/21  12:23:54.1  -63.54 -24.88  572.3  64 18   -8 2.3e+26  6.84 200503211223A  
 2005/03/28  16:09:36.5   97.07   1.67   25.8 333  8  118 1.0e+29  8.61 200503281609A  
 2005/04/10  10:29:11.3   99.54  -1.68   12.0 142 34   89 1.3e+26  6.68 200504101029A  
 2005/04/11  12:20:06.0  146.18  -3.33   14.0 267 78   -2 1.1e+26  6.62 200504111220A  
 2005/04/11  17:08:53.9  170.50 -22.01   78.3 351 37 -150 1.5e+26  6.71 200504111708A  
 2005/05/14  05:05:18.5   98.24   0.42   39.0 326 22   88 1.5e+26  6.72 200505140505A  
 2005/05/19  01:54:52.8   96.74   1.88   12.0 290  8   65 2.4e+26  6.85 200505190154A  
 2005/06/13  22:44:33.9  -69.23 -20.02   94.5 182 23  -81 5.3e+27  7.75 200506132244A  
 2005/06/14  17:10:16.6  179.52  51.15   18.0 268 20  115 1.8e+26  6.76 200506141710A  
 2005/06/15  02:50:53.2 -126.42  41.15   20.4 317 83  175 8.3e+26  7.21 200506150250A  
 2005/06/17  06:21:42.3 -126.76  40.64   16.2 292 82 -179 1.1e+26  6.64 200506170621A  
 2005/07/02  02:16:43.7  -86.70  11.06   28.0 311 22   96 1.0e+26  6.60 200507020216A  
 2005/07/05  01:52:03.0   96.93   1.56   16.0 329  8  107 1.2e+26  6.64 200507050152A  
 2005/07/24  15:42:06.2   91.88   7.92   12.0  29 68   -2 8.9e+26  7.23 200507241542A  
 2005/08/16  02:46:28.4  142.05  38.24   37.0 194 16   81 7.6e+26  7.19 200508160246A  
 2005/09/09  07:26:43.7  153.95  -5.20   83.6 140 30   91 3.7e+27  7.64 200509090726A  
 2005/09/26  01:55:37.7  -76.20  -5.60  108.1 347 39  -92 2.2e+27  7.49 200509260155A  
 2005/09/29  15:50:24.0  152.08  -5.69   30.0 247 24   97 1.0e+26  6.61 200509291550A  
 2005/10/08  03:50:40.8   73.47  34.38   12.0 334 40  123 2.9e+27  7.58 200510080350A  
 2005/11/14  21:38:51.4  144.97  38.22   18.0 181 43 -104 3.7e+26  6.98 200511142138A  
 2005/11/17  19:26:56.4  -68.13 -22.46  155.3 126 26 -149 1.9e+26  6.78 200511171926A  
 2005/12/05  12:19:56.6   29.60  -6.23   18.0 149 50 -122 1.8e+26  6.77 200512051219A  
 2005/12/11  14:20:43.8  152.36  -6.73   12.0  71 44 -101 9.8e+25  6.59 200512111420A  
 2005/12/12  21:47:46.1   71.06  36.45  210.2 279 40  106 8.2e+25  6.54 200512122147A  
 2005/12/13  03:16:06.4 -178.43 -15.04   15.0 271 86    2 1.3e+26  6.66 200512130316A  
 2006/01/02  06:10:49.2  -21.39 -61.12   20.2 358 77 -168 1.4e+27  7.36 200601020610A  
 2006/01/02  22:13:40.5 -177.72 -19.80  589.5 281 22  -40 6.9e+26  7.16 200601022213A  
 2006/01/04  08:32:32.4 -112.51  28.38   15.0 129 88  178 9.6e+25  6.59 200601040832A  
 2006/01/08  11:34:55.6   23.29  35.93   64.0 201 44   55 1.5e+26  6.72 200601081134A  
 2006/01/27  16:58:53.7  128.20  -5.61  397.4  43 42  -44 3.5e+27  7.63 200601271658A  
 2006/02/02  12:48:43.4 -178.13 -17.77  611.6 244 37  -39 1.5e+26  6.71 200602021248A  
 2006/02/22  22:19:07.8   33.33 -21.20   12.0 325 27 -114 4.2e+26  7.01 200602222219A  
 2006/03/14  06:57:33.9  127.31  -3.35   13.0 284 69   11 1.5e+26  6.71 200603140657A  
 2006/03/31  13:21:00.4 -176.41 -29.49   12.0 205 20  101 7.9e+25  6.53 200603311321A  
 2006/04/20  23:25:02.2  167.05  60.89   12.0 207 40   76 3.0e+27  7.58 200604202325A  
 2006/04/29  16:58:06.3  167.60  60.51   12.0 239 44  127 9.4e+25  6.58 200604291658A  
 2006/04/30  19:17:17.2  -71.52 -27.17   15.4  11 14  106 1.0e+26  6.60 200604301917A  
 2006/05/03  15:26:40.3 -173.47 -20.39   67.8 226 22  123 1.1e+28  7.96 200605031527A  
 2006/05/16  10:39:23.3 -178.91 -31.41  151.1 129 19   58 1.8e+27  7.43 200605161039A  
 2006/05/16  15:28:25.9   96.98   0.01   13.5  92 60 -171 2.1e+26  6.81 200605161528A  
 2006/05/22  11:12:00.4  165.81  60.86   12.0 253 86   -3 1.0e+26  6.61 200605221112A  
 2006/07/08  20:40:01.0 -179.12  51.04   28.0 270 23  119 1.0e+26  6.60 200607082039A  
 2006/07/17  08:19:28.8  107.78 -10.28   20.0 290 10  102 4.6e+27  7.71 200607170819A  
 2006/08/07  22:18:54.0  167.63 -15.76  157.7 275 43  -34 2.0e+26  6.80 200608072218A  
 2006/08/20  03:41:47.5  -34.52 -61.27   17.2   4 82 -176 3.7e+26  6.98 200608200341A  
 2006/08/25  00:44:46.2  -67.18 -24.44  185.8 194 36  -48 9.0e+25  6.57 200608250044A  
 2006/09/01  10:18:51.6  155.42  -7.01   45.6 301 42   78 1.6e+26  6.74 200609011018A  
 2006/09/28  06:22:09.7 -171.66 -16.63   15.5   6 40 -100 2.7e+26  6.88 200609280622A  
 2006/09/30  17:50:23.0  153.45  46.29   12.8 231 28  106 8.8e+25  6.56 200609301750A  
 2006/10/01  09:06:02.3  153.64  46.38   12.8 224 29  100 8.3e+25  6.54 200610010906A  
 2006/10/15  17:07:49.2 -155.94  19.83   48.0  88 45 -146 1.5e+26  6.70 200610151707A  
 2006/10/17  01:25:12.2  151.26  -6.09   31.5  43 36  105 1.4e+26  6.69 200610170125A  
 2006/10/20  10:48:56.0  -76.98 -13.46   22.5 327 16   73 1.4e+26  6.69 200610201048A  
 2006/11/07  17:38:33.6  151.58  -6.57   12.0 240 35  -85 8.5e+25  6.55 200611071738A  
 2006/11/13  01:26:34.2  -63.47 -26.10  573.4 344  7  -87 2.3e+26  6.83 200611130126A  
 2006/11/15  11:14:17.8  154.33  46.71   13.5 215 15   92 3.5e+28  8.29 200611151114A  
 2006/11/15  11:40:55.1  154.83  46.47   23.3  54 45  -76 1.4e+26  6.68 200611151140A  
 2006/12/26  12:26:21.1  120.52  21.81   19.6 165 30  -76 3.8e+26  6.98 200612261226A  
 2006/12/26  12:34:13.8  120.40  22.02   32.8 151 48    0 2.9e+26  6.90 200612261234A  
 2006/12/30  08:30:49.8   51.44  13.67   16.0 117 80    3 1.1e+26  6.61 200612300830A  
 2007/01/13  04:23:21.2  154.80  46.17   12.0 266 39  -54 1.8e+28  8.10 200701130423A  
 2007/01/21  11:27:45.1  126.21   1.10   22.2  34 35  108 2.0e+27  7.46 200701211127A  
 2007/01/30  04:54:50.6  146.26 -55.12   13.0 171 77   -2 2.4e+26  6.85 200701300454A  
 2007/01/30  21:37:45.8  145.10  20.99   22.5 128 37  -24 9.2e+25  6.57 200701302137A  
 2007/01/31  03:15:52.3 -177.40 -29.54   56.1 192 33   89 7.1e+25  6.50 200701310315A  
 2007/02/20  08:04:25.1  127.17  -0.91   12.1 276 49  -20 1.5e+26  6.71 200702200804A  
 2007/03/25  00:40:01.6  169.12 -20.60   41.2 333 36   89 6.2e+26  7.13 200703250040A  
 2007/03/25  00:41:57.8  136.61  37.28   12.0  34 40  108 1.3e+26  6.67 200703250041A  
 2007/03/25  01:08:19.0  168.99 -20.89   31.3 331 31   83 2.7e+26  6.89 200703250108A  
 2007/04/01  20:39:56.4  156.34  -7.79   14.1 333 37  121 1.6e+28  8.06 200704012039A  
 2007/04/01  21:11:33.2  155.80  -7.46   29.6 291 40   49 2.6e+26  6.87 200704012111A  
 2007/06/13  19:29:40.2  -91.22  13.43   31.6 286 31   75 1.3e+26  6.67 200706131929A  
 2007/06/28  02:52:09.6  154.70  -7.95   18.0  40 60  179 1.3e+26  6.68 200706280252A  
 2007/07/16  01:13:22.4  138.47  37.50   12.0  37 30   83 1.1e+26  6.62 200707160113A  
 2007/07/16  14:17:37.3  135.03  36.84  374.9 290 46  -10 2.1e+26  6.81 200707161417A  
 2007/07/26  05:40:16.1  127.47   2.95   41.9  16 37   72 3.2e+26  6.93 200707260540A  
 2007/08/01  17:08:51.4  167.41 -15.41  126.0 356 29   79 7.4e+26  7.18 200708011708A  
 2007/08/02  03:21:42.8 -179.73  51.10   31.9 271 27  123 1.6e+26  6.73 200708020321A  
 2007/08/08  17:04:57.8  107.58  -6.03  304.8 330 30  155 2.6e+27  7.53 200708081704A  
 2007/08/15  23:40:57.9  -77.04 -13.73   33.8 321 28   63 1.1e+28  7.96 200708152340A  
 2007/08/20  22:42:29.2  -39.17   8.19   12.0 270 77  176 8.2e+25  6.54 200708202242A  
 2007/09/02  01:05:18.1  165.68 -11.74   18.3 338 23  101 9.0e+26  7.23 200709020105A  
